"id","created_at","created_dmy","red","text","type","page_id","audiencia_interaccion","audiencia","comments","likes","reactions","shares","interaccion","ranking","views","user_id","username","name","user_desc","followers","friends","is_reply","is_rt","reply_to_id","location","pais","ciudad","sector","gen","lang","link","linkpage","keywords"
"1796411949678502094","2024-05-31 05:22:39.0","31-05-2024","Twitter","Estive em Estrela, ao lado do ministro @waldezoficial e do vice-governador @GabrielSouza_RS, para nos reunirmos com os prefeitos do Vale do Taquari.
Viemos reforçar a parceria entre o governo federal, o governo estadual e os governos municipais. 

Precisamos estar de mãos dadas com a população, que foi mais uma vez fortemente afetada pelas chuvas. A orientação do presidente @lulaoficial, é nossa dedicação total ao nosso povo gaúcho, oferecendo suporte em todas as áreas e a todas regiões, em especial nas mais afetadas como é o caso do Vale do Taquari. 

O trabalho de reconstrução é duro, mas nosso compromisso é inabalável. É o Brasil unido pelo Rio Grande do Sul. 🟩🟥🟨","Tweet","1243173383040352257","0","0","0","0","0","0","0","7","0","1243173383040352257","Rafael_R_Costa","Rafael Costa 🚩🚩","É necessário adaptar-se para sobreviver.","21657","23663","false","true","","","","","","M","pt","https://twitter.com/Rafael_R_Costa/status/1796411949678502094","https://twitter.com/Rafael_R_Costa","@lulaoficial"
"1796411578029666762","2024-05-31 05:21:10.0","31-05-2024","Twitter","Já são mais de 30 dias vendo cenas tristes, de destruição, mas até agora eu e o ministro @WaldezOficial não tínhamos nos deparado com algo tão dramático como o que vimos hoje no bairro Passo de Estrela, em Cruzeiro do Sul. Esse local foi 100% devastado. As 650 moradias que existiam aqui já não existem mais. 

São histórias de vida que precisam ser reconstruídas, e podem ter certeza que, cumprindo a missão dada pelo presidente @LulaOficial, assim será.

Mais do que verificar a situação do bairro, viemos transmitir mensagens de esperança em nome do presidente Lula, reforçando à população que não faltará empenho nem recurso para recuperar o que a água levou. Estamos aqui com vocês e por vocês. 🟩🟥🟨","Tweet","1243173383040352257","0","0","0","0","0","0","0","7","0","1243173383040352257","Rafael_R_Costa","Rafael Costa 🚩🚩","É necessário adaptar-se para sobreviver.","21657","23663","false","true","","","","","","M","pt","https://twitter.com/Rafael_R_Costa/status/1796411578029666762","https://twitter.com/Rafael_R_Costa","@lulaoficial"
"1796410942672298009","2024-05-31 05:18:39.0","31-05-2024","Twitter","A derrubada do veto do presidente @LulaOficial a “saidinha” foi anulada pela acertada decisão do ministro do STF André Mendonça, de que a restrição à saída temporária de presos não vale para quem já cumpria pena. Pegou mal no bolsonarismo, mas muito bem pra quem defende a justiça. Toma Congresso","Tweet","820054504506818560","0","0","0","0","0","0","0","5","0","820054504506818560","HumbertoJorgeL2","Humberto Jorge Lopez","English/Spanish/Portuguese teacher/translator","1103","1224","false","true","","Sao Paulo, Brasil","","","","M","pt","https://twitter.com/HumbertoJorgeL2/status/1796410942672298009","https://twitter.com/HumbertoJorgeL2","@lulaoficial"
"1796410143040811398","2024-05-31 05:15:28.0","31-05-2024","Twitter","A derrubada do veto do presidente @LulaOficial a “saidinha” foi anulada pela acertada decisão do ministro do STF André Mendonça, de que a restrição à saída temporária de presos não vale para quem já cumpria pena. Pegou mal no bolsonarismo, mas muito bem pra quem defende a justiça. Toma Congresso","Tweet","111707123","0","0","0","0","0","0","0","6","0","111707123","clau_curitiba","Clau","Lula🚩
1️⃣3️⃣
 PT⭐","4204","4607","false","true","","GYN, BSB, CWB","","","","F","pt","https://twitter.com/clau_curitiba/status/1796410143040811398","https://twitter.com/clau_curitiba","@lulaoficial"
"1796410135272894480","2024-05-31 05:15:26.0","31-05-2024","Twitter","@gleisi @LulaOficial Uma pena que os fascistas presos pela tentativa de golpe tb possam usufruir do privilégio. Será que Mendonça pensou neles qdo tomou essa atitude? 🤔🤔","Tweet","1379978639291396098","1","1","0","0","0","0","0","6","0","1379978639291396098","malu_psi","M. Luiza Cruvinel 🚩🚩","Psicóloga clínica, terapeuta de casal e família,psicodramatista, sexóloga, especialista em EMDR. Mãe da Thaís e do Pedro e avó da Luiza e da Lorena.","8436","8995","true","false","1796234302348239202","São Paulo, Brasil","","","","F","pt","https://twitter.com/malu_psi/status/1796410135272894480","https://twitter.com/malu_psi","@lulaoficial"
"1796409946202116117","2024-05-31 05:14:41.0","31-05-2024","Twitter","A derrubada do veto do presidente @LulaOficial a “saidinha” foi anulada pela acertada decisão do ministro do STF André Mendonça, de que a restrição à saída temporária de presos não vale para quem já cumpria pena. Pegou mal no bolsonarismo, mas muito bem pra quem defende a justiça. Toma Congresso","Tweet","116018620","0","0","0","0","0","0","0","5","0","116018620","oleomorato","Leo Morato","Profundamente fútil, trabalho com estratégia de Conteúdo em agência de publicidade.","1160","3644","false","true","","","","","","M","pt","https://twitter.com/oleomorato/status/1796409946202116117","https://twitter.com/oleomorato","@lulaoficial"
"1796409558782644340","2024-05-31 05:13:09.0","31-05-2024","Twitter","A derrubada do veto do presidente @LulaOficial a “saidinha” foi anulada pela acertada decisão do ministro do STF André Mendonça, de que a restrição à saída temporária de presos não vale para quem já cumpria pena. Pegou mal no bolsonarismo, mas muito bem pra quem defende a justiça. Toma Congresso","Tweet","1612016484510826496","0","0","0","0","0","0","0","5","0","1612016484510826496","MuriloSadj","Murilo 🇧🇷🇵🇸🚩","Designer, progressista ferrenho, esquerdista, pró-escolha, aborto legalizado é direito, anti-direita. Sempre a esquerda e a modernidade.","1372","2853","false","true","","","","","","M","pt","https://twitter.com/MuriloSadj/status/1796409558782644340","https://twitter.com/MuriloSadj","@lulaoficial"
"1796409155655524854","2024-05-31 05:11:33.0","31-05-2024","Twitter","Já são mais de 30 dias vendo cenas tristes, de destruição, mas até agora eu e o ministro @WaldezOficial não tínhamos nos deparado com algo tão dramático como o que vimos hoje no bairro Passo de Estrela, em Cruzeiro do Sul. Esse local foi 100% devastado. As 650 moradias que existiam aqui já não existem mais. 

São histórias de vida que precisam ser reconstruídas, e podem ter certeza que, cumprindo a missão dada pelo presidente @LulaOficial, assim será.

Mais do que verificar a situação do bairro, viemos transmitir mensagens de esperança em nome do presidente Lula, reforçando à população que não faltará empenho nem recurso para recuperar o que a água levou. Estamos aqui com vocês e por vocês. 🟩🟥🟨","Tweet","1717174488767291392","0","0","0","0","0","0","0","2","0","1717174488767291392","GetulioCezarOS","getulio odonnell","","151","699","false","true","","","","","","M","pt","https://twitter.com/GetulioCezarOS/status/1796409155655524854","https://twitter.com/GetulioCezarOS","@lulaoficial"
"1796408288424120520","2024-05-31 05:08:06.0","31-05-2024","Twitter","Se você não leu ou não interpretou direito, eu tbm estou em busca dessa informação. Se souber me avisa. Se é fato ou Fake. 

Algoro quero que vc me prove que @LulaOficial
e o @ptbrasil defendem pautas pro-drogas.

PS. Eu defendo a Legalização das drogas, mas o PT e o Lula estão longe dessa realidade.","Tweet","1614277790739693568","3","3","0","0","0","0","0","7","0","1614277790739693568","4i20Luizinho","Luizinho.4i20☭ 🇧🇷🍁","🤱🏽Desde 13 de Julho de 1989 de Rolê pelo Brasil 🚙💨 Cancerianjo♋ Baiano 🌊 Nordestino🌵Meu pai #Oxalá é o Rei 🕊️ Lula é o Melhor / #LegalizaBrasil 🍁🔥","15808","5728","true","false","1796363614837752068","Puerto Seguro, Brasil","","","","M","pt","https://twitter.com/4i20Luizinho/status/1796408288424120520","https://twitter.com/4i20Luizinho","@lulaoficial"
"1796406297270845491","2024-05-31 05:00:11.0","31-05-2024","Twitter","@Elainnefaria1 @LulaOficial Povo é a ....  Deixa pra lá.
Vc não disse que lula iria fechar as igrejas ?
Agradeça calada e larga esse negócio de povo pra lá, o povo foi votar e votou nele.
Ele é seu presidente, queria vc ou não.
Bom dia.","Tweet","1743265245697572865","0","0","0","0","0","0","0","1","0","1743265245697572865","Josefilho03","José Nicomedes","","17","104","true","false","1796311430742032490","","","","","M","pt","https://twitter.com/Josefilho03/status/1796406297270845491","https://twitter.com/Josefilho03","@lulaoficial"
